date,ticker,sector,open,high,low,close,volume,source,return_1d,return_5d,return_20d,close_norm_20d,rsi_14_norm,macd_diff_norm,bb_pband,volume_ratio_20d,atr_norm
2024-06-28,UNH,Healthcare,477.17,489.7,470.48,489.57,22734200,yfinance,0.04691743472403398,0.0552669583773413,0.06181273993102998,2.379605803708616,0.6455492007625752,0.001828144024911729,1.0949014509271542,4.748603410300247,0.019843944686153143
2024-07-01,UNH,Healthcare,487.15,489.23,473.83,475.52,4523100,yfinance,-0.02869865392078763,0.009532301551918199,0.0027836355967945092,0.3475819835488855,0.5106900524900779,0.0021142057426089722,0.5868954958872213,0.9666871127619968,0.021471231493943463
2024-07-02,UNH,Healthcare,475.15,479.19,474.31,478.97,3312000,yfinance,0.007255215343203281,0.028362246650635692,0.005859128900835842,0.81254369702477,0.524626865671642,0.0026334213750319802,0.7031359242561924,0.7039596668519379,0.020975068525019448
2024-07-03,UNH,Healthcare,477.89,478.82,467.7,470.94,2239200,yfinance,-0.016765141866922795,0.012077709963036254,-0.026762280683626405,-0.24900355295451682,0.4937953640833528,0.001825447598854825,0.4377491117613709,0.48073630458655325,0.02121592680899598
2024-07-05,UNH,Healthcare,470.09,470.73,465.76,469.14,3499000,yfinance,-0.003822142948146312,0.0032290486068045077,-0.025912545160084788,-0.44654469883035186,0.45845857881447627,0.0009858658180572763,0.3883638252924121,0.74295293534356,0.019517475745893693
2024-07-08,UNH,Healthcare,470.27,474.78,467.37,470.42,3450600,yfinance,0.002728396640661712,-0.03911595890271047,-0.02091701875247154,-0.173239239689916,0.467607973421927,0.000604732480129558,0.45669019007752104,0.7247431547309623,0.019699721221765346
2024-07-09,UNH,Healthcare,469.44,476.24,467.29,473.08,3056800,yfinance,0.005654521491433195,-0.005131224764468367,0.00715319764966349,0.24044285247348188,0.5170210151161361,0.0007198581817273266,0.5601107131183704,0.6444648715202523,0.020022285569338917
2024-07-10,UNH,Healthcare,471.95,482.11,471.17,481.56,3189800,yfinance,0.01792508666610293,0.0054074367914482835,0.01627097182652726,1.493921334935638,0.6165386022685694,0.0018918873374693366,0.8734803337339102,0.6735205373299465,0.01949171146155945
2024-07-11,UNH,Healthcare,478.45,489.06,478.45,484.85,3535100,yfinance,0.006831962787607004,0.029536671338174836,0.020715353360981847,1.7748372081977506,0.6163514338010985,0.002971650072567811,0.9437093020494383,0.7549148155582794,0.01981614343169463
2024-07-12,UNH,Healthcare,487.32,494.67,483.96,491.75,3570600,yfinance,0.014231205527482693,0.048194568785437264,0.041843220338983134,2.2490671316959827,0.6598850574712642,0.004360614553960644,1.0622667829239958,0.7664040868016055,0.02001597792141768
2024-07-15,UNH,Healthcare,503.97,510.3,493.93,495.44,5128000,yfinance,0.007503812913065566,0.05318651417881881,0.040731015649616564,2.2272530915752986,0.646010288311999,0.005470208122317353,1.056813272893825,1.0986103478897062,0.02139079836681968
2024-07-16,UNH,Healthcare,513.25,528.65,506.74,527.64,11062000,yfinance,0.0649927337316325,0.11532933119134192,0.10876691602925104,3.3855681733081027,0.7799493304379296,0.009425522926765413,1.3463920433270256,2.185563466198548,0.02327344401485861
2024-07-17,UNH,Healthcare,532.58,551.43,529.98,551.11,10330800,yfinance,0.04448108558865904,0.1444264473793504,0.17180157768280502,3.1995455845217458,0.8211905653313363,0.013814189115425276,1.299886396130436,1.8929286358868178,0.024621737428618083
2024-07-18,UNH,Healthcare,542.67,559.01,539.71,542.52,6834800,yfinance,-0.015586724973235877,0.11894400329998955,0.17314304249108003,2.280322443494493,0.7677894586283341,0.015275730098892038,1.0700806108736238,1.2173089116387754,0.026675777588186345
2024-07-19,UNH,Healthcare,545.19,547.86,539.82,543.47,4290400,yfinance,0.001751087517510852,0.10517539400101694,0.166795482845979,1.9626691802916685,0.7267754964658362,0.015243205194203894,0.9906672950729173,0.7707820013132614,0.024785176734686356
2024-07-22,UNH,Healthcare,541.28,542.43,535.54,536.93,3377300,yfinance,-0.012033782913500435,0.0837437429355723,0.15735132455327294,1.527527745722885,0.775801670708703,0.013707111692992173,0.8818819364307208,0.623494248374942,0.024048093526424036
2024-07-23,UNH,Healthcare,537.18,537.23,531.43,533.25,2785600,yfinance,-0.006853779822323158,0.010632249260859705,0.13209349722947583,1.2569052837648933,0.7432771602724987,0.011386866998454748,0.8142263209412237,0.5256821072575684,0.024337284843613964
2024-07-24,UNH,Healthcare,538.34,539.43,531.63,538.1,3156200,yfinance,0.009095171120487633,-0.023606902433271015,0.15531604259704568,1.275736376197474,0.809835763055914,0.009579422056390976,0.8189340940493685,0.5942732335095391,0.02365731276714365
